LECROYWR104MXi-A€¿;49371;Waveform
Segments;1;SegmentSize;502
Segment;TrigTime;TimeSinceSegment1
#1;01-Jan-2002 00:47:56;0                 
Time;Ampl
1.21978e-008;0.0319902
1.22978e-008;0.0415898
1.23978e-008;0.0383899
1.24978e-008;0.0415898
1.25978e-008;0.0447897
1.26978e-008;0.0479896
1.27978e-008;0.0543893
1.28978e-008;0.0543893
1.29978e-008;0.0447897
1.30978e-008;0.03519
1.31978e-008;0.0447897
1.32978e-008;0.0479896
1.33978e-008;0.0447897
1.34978e-008;0.0287903
1.35978e-008;0.0287903
1.36978e-008;0.0319902
1.37978e-008;0.0255904
1.38978e-008;0.0255904
1.39978e-008;0.0223905
1.40978e-008;0.0255904
1.41978e-008;0.0287903
1.42978e-008;0.0383899
1.43978e-008;0.0543893
1.44978e-008;0.0607891
1.45978e-008;0.0639889
1.46978e-008;0.0575892
1.47978e-008;0.0543893
1.48978e-008;0.0543893
1.49978e-008;0.0511894
1.50978e-008;0.0543893
1.51978e-008;0.0511894
1.52978e-008;0.0447897
1.53978e-008;0.0415898
1.54978e-008;0.0319902
1.55978e-008;0.0287903
1.56978e-008;0.0223905
1.57978e-008;0.0127909
1.58978e-008;0.0191907
1.59978e-008;0.0191907
1.60978e-008;0.0255904
1.61978e-008;0.0319902
1.62978e-008;0.03519
1.63978e-008;0.03519
1.64978e-008;0.0319902
1.65978e-008;0.0383899
1.66978e-008;0.0415898
1.67978e-008;0.0479896
1.68978e-008;0.0447897
1.69978e-008;0.0383899
1.70978e-008;0.0415898
1.71978e-008;0.0447897
1.72978e-008;0.0383899
1.73978e-008;0.03519
1.74978e-008;0.0287903
1.75978e-008;0.0127909
1.76978e-008;0.0159908
1.77978e-008;0.0191907
1.78978e-008;0.0255904
1.79978e-008;0.0479896
1.80978e-008;0.0607891
1.81978e-008;0.0607891
1.82978e-008;0.0543893
1.83978e-008;0.0607891
1.84978e-008;0.0607891
1.85978e-008;0.0543893
1.86978e-008;0.0543893
1.87978e-008;0.0575892
1.88978e-008;0.0479896
1.89978e-008;0.0511894
1.90978e-008;0.0511894
1.91978e-008;0.0575892
1.92978e-008;0.0543893
1.93978e-008;0.0511894
1.94978e-008;0.0383899
1.95978e-008;0.0319902
1.96978e-008;0.0287903
1.97978e-008;0.0191907
1.98978e-008;0.00959103
1.99978e-008;0.0127909
2.00978e-008;0.0159908
2.01978e-008;0.0127909
2.02978e-008;0.00959103
2.03978e-008;0.0159908
2.04978e-008;0.0223905
2.05978e-008;0.0255904
2.06978e-008;0.0287903
2.07978e-008;0.0255904
2.08978e-008;0.0319902
2.09978e-008;0.0319902
2.10978e-008;0.0383899
2.11978e-008;0.03519
2.12978e-008;0.0383899
2.13978e-008;0.0415898
2.14978e-008;0.0415898
2.15978e-008;0.0383899
2.16978e-008;0.0415898
2.17978e-008;0.0447897
2.18978e-008;0.0415898
2.19978e-008;0.0479896
2.20978e-008;0.0479896
2.21978e-008;0.03519
2.22978e-008;0.0287903
2.23978e-008;0.0287903
2.24978e-008;0.0319902
2.25978e-008;0.0415898
2.26978e-008;0.0415898
2.27978e-008;0.0479896
2.28978e-008;0.0511894
2.29978e-008;0.0543893
2.30978e-008;0.0415898
2.31978e-008;0.0319902
2.32978e-008;0.0223905
2.33978e-008;0.0159908
2.34978e-008;0.0191907
2.35978e-008;0.0223905
2.36978e-008;0.0287903
2.37978e-008;0.0223905
2.38978e-008;0.0287903
2.39978e-008;0.0319902
2.40978e-008;0.0383899
2.41978e-008;0.03519
2.42978e-008;0.0383899
2.43978e-008;0.0383899
2.44978e-008;0.0447897
2.45978e-008;0.0447897
2.46978e-008;0.0543893
2.47978e-008;0.0511894
2.48978e-008;0.0383899
2.49978e-008;0.0415898
2.50978e-008;0.0447897
2.51978e-008;0.0479896
2.52978e-008;0.0447897
2.53978e-008;0.03519
2.54978e-008;0.0319902
2.55978e-008;0.0287903
2.56978e-008;0.0255904
2.57978e-008;0.0255904
2.58978e-008;0.0191907
2.59978e-008;0.0191907
2.60978e-008;0.0191907
2.61978e-008;0.0159908
2.62978e-008;0.0159908
2.63978e-008;0.0127909
2.64978e-008;0.0159908
2.65978e-008;0.0159908
2.66978e-008;0.0191907
2.67978e-008;0.0191907
2.68978e-008;0.0287903
2.69978e-008;0.0415898
2.70978e-008;0.0447897
