S142C	2022-10-04 19:42:55
value unit [W]	time unit [ms]
wavelength	405.000nm
range	AUTO
2.222509E-08	273440
-2.828174E-07	273739
-3.731895E-07	274039
-1.921931E-07	274339
-2.996888E-07	274639
-2.689064E-07	274940
-1.136424E-07	275239
-2.152619E-08	275540
4.361898E-08	275840
8.130993E-08	276142
-5.200982E-08	276442
-1.196337E-07	276742
2.621909E-08	277042
2.697698E-08	277342
-2.956031E-07	277642
7.442562E-09	277942
-1.542721E-07	278242
2.713782E-09	278542
-4.484788E-08	278842
4.219562E-08	279142
-6.603572E-10	279442
1.509312E-07	279742
2.481208E-07	280042
6.962632E-08	280342
8.273335E-08	280642
1.056417E-07	280942
3.815094E-07	281242
3.507735E-07	281542
-2.696413E-07	281842
-4.661525E-08	282142
7.619125E-08	282442
1.007526E-07	282742
-3.887977E-08	283042
1.439990E-07	283345
-2.022701E-07	283645
-7.866689E-07	283945
1.820116E-07	284245
6.000840E-08	284545
-4.929702E-09	284845
-5.825117E-07	285145
-7.606842E-07	285445
-3.920809E-07	285745
-1.326031E-07	286045
4.954105E-08	286345
6.154652E-08	286645
1.521478E-07	286945
6.143146E-08	287245
-9.103238E-08	287545
-1.624397E-09	287845
-8.818584E-08	288145
-3.972886E-08	288445
2.042317E-07	288745
-1.045756E-07	289045
-1.062284E-07	289345
-8.049621E-08	289645
-8.832340E-09	289945
-2.554327E-08	290245
1.651630E-07	290548
-8.214920E-08	290847
-1.516786E-08	291147
4.097896E-08	291448
-5.019640E-08	291748
-5.501689E-08	292048
8.489104E-08	292348
-7.464269E-08	292647
-4.957651E-08	292947
3.879829E-08	293261
6.664211E-08	293561
3.909673E-08	293861
-3.105227E-08	294160
-1.000295E-08	294460
9.012465E-08	294761
4.274652E-08	295061
4.359592E-08	295361
1.563943E-07	295661
1.238220E-07	295961
-4.464143E-08	296260
-3.688260E-08	296560
1.887404E-08	296861
1.020151E-07	297161
2.066434E-08	297461
-5.244595E-08	297763
-3.130027E-07	298063
-7.255409E-08	298363
-3.679065E-08	298663
9.164269E-09	298963
9.118232E-09	299263
5.293854E-08	299563
-1.699496E-07	299863
1.215953E-07	300163
2.321229E-08	300463
-7.572170E-08	300763
-3.584997E-08	301063
4.986249E-08	301363
-7.746624E-08	301663
-3.415021E-09	301963
-1.686416E-07	302263
6.349732E-08	302563
-1.125867E-07	302863
-8.304283E-09	303163
9.898523E-08	303463
-2.634392E-09	303763
2.635709E-08	304063
3.370464E-07	304363
4.544133E-07	304666
1.983782E-07	304966
8.560264E-08	305266
4.972495E-08	305566
1.034152E-07	305866
8.874764E-08	306166
3.625719E-07	306466
3.844018E-07	306766
5.234830E-07	307066
6.646306E-07	307366
9.962315E-07	307666
1.266544E-06	307966
1.204429E-06	308266
5.153570E-07	308566
4.237225E-07	308866
3.285074E-07	309166
-3.619281E-10	309466
-8.281060E-09	309766
4.260885E-08	310066
1.426026E-08	310366
-6.702196E-08	310666
-3.001851E-09	310966
5.849324E-08	311266
-2.857306E-08	311566
1.997550E-08	311866
2.833124E-08	312169
-3.938446E-08	312468
2.073288E-08	312769
-4.780450E-07	313068
-5.757399E-07	313368
-4.725593E-07	313668
-2.422339E-07	313968
-1.208732E-07	314268
-1.155248E-07	314569
1.007296E-07	314869
7.148571E-08	315169
5.424680E-08	315469
-1.463964E-08	315769
4.676357E-08	316069
-2.428765E-07	316369
1.127347E-07	316669
6.632094E-08	316969
-2.845842E-08	317268
-5.085752E-07	317568
3.656250E-07	317869
5.652601E-07	318169
7.857865E-08	318469
-2.902776E-07	318768
-5.393564E-07	319071
-1.201846E-07	319371
-6.025042E-08	319671
6.937398E-08	319971
-7.831547E-08	320271
2.966233E-08	320571
-1.047360E-07	320871
-1.279891E-07	321171
6.416327E-08	321471
1.334169E-08	321771
9.632242E-08	322084
-9.369515E-08	322383
-8.455928E-08	322684
-3.887958E-08	322983
-7.833847E-08	323283
-6.254564E-08	323583
-2.237544E-08	323883
6.909852E-08	324184
-7.962404E-08	324483
-5.412159E-08	324783
-2.462473E-08	325084
4.403207E-08	325384
1.011430E-07	325684
1.790977E-08	325984
-5.756253E-09	326286
-2.758596E-08	326586
-5.974528E-08	326886
-1.418172E-09	327186
2.447480E-08	327486
-4.333282E-08	327786
-4.138154E-08	328086
1.667927E-07	328386
-1.451822E-07	328686
7.134786E-08	328986
-4.434306E-08	329286
6.503566E-08	329586
1.665633E-07	329886
2.621936E-08	330186
7.026910E-08	330486
-2.829779E-08	330786
6.260196E-08	331086
4.625874E-08	331386
-1.185548E-07	331686
1.563485E-07	331986
-1.119897E-07	332286
1.647042E-07	332586
3.752891E-07	332886
-2.075197E-06	333186
-3.053749E-06	333489
3.494191E-07	333789
1.778566E-07	334089
3.154469E-08	334389
1.748037E-07	334689
4.410085E-08	334989
-2.831387E-07	335288
3.449430E-07	335589
-2.634654E-08	335889
4.391728E-08	336189
4.343516E-08	336489
2.428180E-07	336789
5.169882E-08	337089
8.434017E-08	337389
2.805330E-07	337689
2.411884E-07	337989
4.619375E-09	338289
3.370693E-07	338589
-6.752020E-07	338888
-1.453589E-06	339189
1.365914E-06	339489
4.352231E-07	339789
6.539574E-07	340089
7.016097E-07	340389
7.880821E-08	340691
2.451135E-07	340991
1.170962E-07	341291
-5.598059E-08	341591
1.423707E-08	341891
4.756695E-08	342191
8.720969E-08	343233
1.513444E-07	343533
5.199712E-08	343833
3.723695E-09	344133
-2.154890E-08	344433
-1.828949E-08	344732
3.314914E-07	345033
2.118983E-07	345333
5.133171E-08	345633
-8.749727E-08	345932
1.828381E-07	346233
7.001672E-08	346533
4.297612E-08	346833
1.211817E-07	347133
1.778566E-07	347433
-6.396888E-08	347733
3.255486E-08	348033
1.400969E-07	348333
-7.856821E-08	348635
-1.946262E-07	348935
-2.599779E-07	349235
2.422213E-07	349535
4.100419E-07	349835
-1.846408E-07	350135
1.911938E-07	350435
6.882306E-08	350735
2.081570E-07	351035
4.837716E-07	351335
-1.202273E-08	351648
3.016275E-07	351948
4.093072E-07	352248
-4.144613E-07	352548
-4.179500E-08	352848
5.059700E-08	353148
1.687209E-07	353448
-7.344899E-08	353748
-2.648437E-07	354048
1.150762E-07	354348
8.771440E-08	354648
1.002479E-07	354948
2.219065E-07	355248
-4.073902E-08	355548
-9.594449E-08	355850
-2.442077E-07	356150
2.034741E-07	356451
-4.544464E-08	356750
2.555350E-07	357051
5.888367E-08	357351
1.366319E-08	357651
7.332218E-08	357951
1.515282E-07	358251
5.507319E-08	358551
2.283109E-07	358851
6.620604E-08	359151
-1.477532E-07	359450
1.579809E-08	359751
1.773287E-07	360051
1.340828E-07	360351
2.037498E-07	360651
4.752127E-08	360951
-3.589560E-08	361251
2.562262E-08	361551
2.512423E-07	361851
1.096589E-07	362151
